ProvID,Provinsi,Tanggal,Komoditas,Nilai,NilaiDiff,SemuaProvinsi,Kelompok,stdDev,Percentage,SemuaPercentage,stdDevPercentage,TanggalLast,TanggalInflasi,show,tanggal
15,DI Yogyakarta,07 Mar 24,Beras,15400.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
4,Riau,07 Mar 24,Beras,15450.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
14,Jawa Tengah,07 Mar 24,Beras,15550.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
31,Maluku,07 Mar 24,Beras,15700.0,Rp50,15950.0,4,1200.0,0.32,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
12,Jawa Barat,07 Mar 24,Beras,15800.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
29,Sulawesi Utara,07 Mar 24,Beras,15800.0,Rp150,15950.0,4,1200.0,0.96,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
19,Nusa Tenggara Timur,07 Mar 24,Beras,15900.0,-Rp50,15950.0,4,1200.0,-0.31,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
34,Papua Barat,07 Mar 24,Beras,15900.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
7,Bengkulu,07 Mar 24,Beras,15950.0,Rp0,15950.0,4,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
13,DKI Jakarta,07 Mar 24,Beras,16150.0,Rp0,15950.0,3,1200.0,0.0,0.0,,06 Mar 24,07 Mar / 06 Mar,True,2024-03-07
